,timestamp,open,high,low,close,volume
0,2019-09-16,111.6,116.02,110.5154,112.77,288009
1,2019-09-13,113.89,113.975,111.0,111.71,588627
2,2019-09-12,112.78,114.62,111.06,114.32,661000
3,2019-09-11,111.75,112.92,110.09,112.81,695600
4,2019-09-10,116.65,116.87,110.76,111.5,968300
5,2019-09-09,119.0,119.32,116.65,117.51,590400
6,2019-09-06,118.91,118.91,117.55,118.39,659700
7,2019-09-05,119.27,119.99,117.59,118.47,581700
8,2019-09-04,117.02,118.65,116.7,118.06,903200
9,2019-09-03,115.52,116.33,113.95,116.02,709700
10,2019-08-30,115.53,116.5,113.59,115.5,1099700
11,2019-08-29,113.63,115.25,113.63,114.7,768100
12,2019-08-28,112.14,112.49,111.5,111.73,588300
13,2019-08-27,113.72,113.97,112.49,112.58,801900
14,2019-08-26,114.15,114.15,111.91,112.77,603400
15,2019-08-23,115.22,115.71,111.75,112.23,510000
16,2019-08-22,115.96,117.95,115.32,116.52,508000
17,2019-08-21,114.77,116.69,114.36,115.88,325100
18,2019-08-20,114.59,115.4,113.6,113.73,371400
19,2019-08-19,113.35,115.89,113.03,114.31,713100
20,2019-08-16,109.29,112.29,109.07,111.69,502200
21,2019-08-15,109.9,110.68,108.35,108.72,505700
22,2019-08-14,110.73,112.09,109.74,110.01,552300
23,2019-08-13,112.01,114.63,110.88,113.35,700000
24,2019-08-12,114.0,114.38,111.93,112.36,479200
25,2019-08-09,111.93,115.35,111.03,114.73,727100
26,2019-08-08,109.96,113.066,109.5093,112.7,1462600
27,2019-08-07,106.72,109.15,105.988,108.65,633800
28,2019-08-06,108.03,109.25,107.83,108.34,804300
29,2019-08-05,111.69,111.84,106.85,107.53,978300
30,2019-08-02,117.44,117.63,113.78,116.34,795200
31,2019-08-01,118.5,120.82,117.8,118.52,1312600
32,2019-07-31,115.2,119.72,115.2,118.16,1102800
33,2019-07-30,112.56,113.97,112.11,113.58,1370700
34,2019-07-29,114.39,114.52,112.59,112.91,704600
35,2019-07-26,115.63,115.98,114.36,114.44,418400
36,2019-07-25,113.0,114.49,112.46,114.21,422000
37,2019-07-24,113.21,114.05,112.83,113.6,606800
38,2019-07-23,112.8,113.72,112.1428,113.66,585300
39,2019-07-22,113.2401,113.53,112.24,112.31,584200
40,2019-07-19,112.99,114.55,112.51,112.51,619200
41,2019-07-18,113.19,113.42,111.35,112.41,1109600
42,2019-07-17,114.14,114.6,113.38,113.48,650600
43,2019-07-16,115.57,115.92,114.05,114.36,867600
44,2019-07-15,116.22,116.47,115.0,115.92,985900
45,2019-07-12,113.75,116.34,113.65,116.22,655200
46,2019-07-11,112.69,113.84,111.14,113.57,660800
47,2019-07-10,113.1325,113.77,111.72,112.46,827800
48,2019-07-09,109.63,113.11,109.29,112.76,1241000
49,2019-07-08,113.09,113.09,110.12,110.4,719800
50,2019-07-05,113.22,113.93,112.53,113.79,645600
51,2019-07-03,112.96,114.34,112.782,113.54,612500
52,2019-07-02,112.57,113.235,112.16,112.73,728800
53,2019-07-01,112.95,113.59,111.41,112.53,786100
54,2019-06-28,110.91,111.42,110.04,111.0,2185700
55,2019-06-27,108.71,110.54,108.3384,110.4,631300
56,2019-06-26,108.04,108.95,107.98,108.61,579400
57,2019-06-25,107.64,108.97,107.25,107.465,743000
58,2019-06-24,108.69,109.04,107.31,107.54,894000
59,2019-06-21,107.79,109.87,106.755,108.59,1799900
60,2019-06-20,106.48,109.32,106.1,108.11,1037800
61,2019-06-19,104.27,105.36,104.01,105.02,817700
62,2019-06-18,105.52,106.185,104.0,104.13,630200
63,2019-06-17,104.22,104.95,103.4,104.21,649600
64,2019-06-14,105.94,106.4,104.18,104.24,426400
65,2019-06-13,106.02,106.31,105.42,106.11,646500
66,2019-06-12,105.45,106.33,104.83,105.37,417700
67,2019-06-11,107.41,107.97,105.69,105.85,506600
68,2019-06-10,105.9,107.56,105.6916,106.38,565100
69,2019-06-07,104.88,106.1,104.56,104.86,448300
