,timestamp,open,high,low,close,volume
0,2019-09-16,133.78,136.46,132.62,136.46,47157
1,2019-09-13,132.0,136.59,131.4,134.19,259133
2,2019-09-12,127.14,133.95,126.5,133.09,266700
3,2019-09-11,127.75,128.48,125.02,128.08,351800
4,2019-09-10,125.46,127.86,123.2,127.45,300600
5,2019-09-09,121.41,133.98,121.41,125.45,691600
6,2019-09-06,123.35,125.75,118.0,120.61,1231200
7,2019-09-05,140.0,142.59,121.72,131.03,1450200
8,2019-09-04,147.0,148.66,140.01,140.56,366300
9,2019-09-03,143.0,145.68,142.67,145.54,230400
10,2019-08-30,144.75,145.985,142.52,143.75,175500
11,2019-08-29,141.56,145.91,139.0,144.81,257800
12,2019-08-28,140.29,142.0,138.43,139.87,216000
13,2019-08-27,142.0,142.585,136.43,141.61,352500
14,2019-08-26,143.76,144.35,141.22,142.17,184000
15,2019-08-23,141.75,146.4,141.75,142.73,276600
16,2019-08-22,150.0,150.0,143.52,143.75,406600
17,2019-08-21,145.15,147.53,143.5,146.04,205800
18,2019-08-20,148.2,149.8,144.83,145.15,255400
19,2019-08-19,145.0,149.05,144.99,148.29,199900
20,2019-08-16,141.51,144.53,139.5,143.76,246200
21,2019-08-15,138.7,145.3177,138.7,141.19,336500
22,2019-08-14,134.54,140.4899,132.65,139.71,344700
23,2019-08-13,135.27,137.2624,134.155,135.9,286300
24,2019-08-12,133.43,138.64,132.19,135.35,344600
25,2019-08-09,133.41,136.735,131.06,132.98,390000
26,2019-08-08,132.87,133.745,130.18,133.48,195300
27,2019-08-07,130.46,133.0,127.515,130.83,119000
28,2019-08-06,130.99,133.43,127.658,131.25,129400
29,2019-08-05,134.96,137.0,128.29,129.74,367100
30,2019-08-02,134.83,138.05,131.84,137.79,182700
31,2019-08-01,136.68,139.0,135.372,136.27,240100
32,2019-07-31,136.51,137.42,134.85,137.34,220900
33,2019-07-30,135.76,137.48,134.27,137.2,173900
34,2019-07-29,132.83,135.97,132.74,135.74,250700
35,2019-07-26,130.34,133.215,129.8,132.79,170800
36,2019-07-25,128.57,131.55,128.53,130.2,259600
37,2019-07-24,127.87,129.2,126.59,129.0,107500
38,2019-07-23,130.0,132.75,127.65,129.09,177900
39,2019-07-22,125.12,130.58,122.85,129.51,361900
40,2019-07-19,124.96,125.505,123.79,124.36,160600
41,2019-07-18,121.74,124.94,118.5,124.4,260900
42,2019-07-17,122.0,123.3,120.28,121.19,179300
43,2019-07-16,122.9,122.9,118.6,121.17,172100
44,2019-07-15,123.0,127.62,121.32,122.91,175100
45,2019-07-12,122.75,125.445,121.83,122.7,104000
46,2019-07-11,123.75,124.51,121.91,122.36,145900
47,2019-07-10,129.01,129.74,121.8,124.27,476000
48,2019-07-09,126.8714,129.17,125.905,128.65,217900
49,2019-07-08,126.94,128.98,124.7,128.05,220400
50,2019-07-05,128.66,131.69,125.88,127.91,298400
51,2019-07-03,127.08,130.0,127.08,129.96,144400
52,2019-07-02,126.28,128.795,123.8225,127.31,214200
53,2019-07-01,126.05,129.98,125.54,127.04,226200
54,2019-06-28,125.15,126.95,120.01,123.95,248900
55,2019-06-27,125.0,126.75,123.19,125.66,154600
56,2019-06-26,121.95,124.98,121.59,124.66,221800
57,2019-06-25,121.06,124.09,119.2795,121.02,120400
58,2019-06-24,122.99,122.99,119.25,120.32,215700
59,2019-06-21,121.13,122.06,118.83,121.38,238900
60,2019-06-20,121.7,126.415,121.02,121.18,311800
61,2019-06-19,117.7,121.9775,117.6,119.91,197100
62,2019-06-18,115.0,118.34,113.01,116.53,568000
63,2019-06-17,119.22,119.39,113.24,113.99,717700
64,2019-06-14,125.4013,125.4,116.95,117.62,339800
65,2019-06-13,127.0099,129.49,124.53,125.09,243100
66,2019-06-12,127.0,127.12,124.8,127.0,555800
67,2019-06-11,124.95,127.98,123.55,127.63,287800
68,2019-06-10,123.5,126.57,122.25,123.21,225600
69,2019-06-07,120.62,122.99,118.66,122.5,120800
70,2019-06-06,119.9,121.87,117.82,119.81,179400
71,2019-06-05,121.32,122.04,116.76,119.96,233000
72,2019-06-04,118.31,121.62,117.31,120.3,349300
73,2019-06-03,118.79,119.95,115.52,116.9,284200
74,2019-05-31,118.28,119.175,116.0,117.93,384000
75,2019-05-30,121.93,122.35,119.0,120.17,158800
